[2026-04-04 10:56:03][INFO] 日志记录器初始化完成 | log_dir=./logs
[2026-04-04 10:56:03][INFO] 文本日志: ./logs\training_20260404_105603.log
[2026-04-04 10:56:03][INFO] JSON 日志: ./logs\training_20260404_105603.json
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] 联邦蒸馏客户端模型预训练启动
[2026-04-04 10:56:03][INFO] 数据集: CIFAR10 | 客户端数: 10
[2026-04-04 10:56:03][INFO] 预训练轮数: 100 | 设备: cuda
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] [pretrain] 待训练客户端: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-04-04 10:56:03][INFO] [pretrain] Step 1: 加载/创建数据集划分...
[2026-04-04 10:56:07][INFO] [pretrain] 数据加载完成，共 10 个客户端
[2026-04-04 10:56:07][INFO] [pretrain] Step 2: 分配客户端模型结构...
[2026-04-04 10:56:07][INFO]   Client  0 → SMALL
[2026-04-04 10:56:07][INFO]   Client  1 → LARGE
[2026-04-04 10:56:07][INFO]   Client  2 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  3 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  4 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  5 → LARGE
[2026-04-04 10:56:07][INFO]   Client  6 → SMALL
[2026-04-04 10:56:07][INFO]   Client  7 → LARGE
[2026-04-04 10:56:07][INFO]   Client  8 → SMALL
[2026-04-04 10:56:07][INFO]   Client  9 → SMALL
[2026-04-04 10:56:07][INFO] [pretrain] 模型结构分配已保存: ./teacher_ckpts\client_model_types.json
[2026-04-04 10:56:07][INFO] [pretrain] Step 3: 开始预训练（串行模式）...
[2026-04-04 10:56:07][INFO] [pretrain] ── Client 0 开始 | 模型结构: SMALL | 本地样本数: 6071 ──
[2026-04-04 10:56:08][INFO] [预训练] Client 0 开始训练，共 100 轮，设备: cuda
[2026-04-04 11:21:27][DEBUG] [Client 0] Epoch  89/100 | Loss=0.0979 | Acc=0.1876 | Best=0.1879(ep86) | LR=0.003053
[2026-04-04 11:21:44][DEBUG] [Client 0] Epoch  90/100 | Loss=0.1048 | Acc=0.1877 | Best=0.1879(ep86) | LR=0.002545
[2026-04-04 11:22:00][DEBUG] [Client 0] Epoch  91/100 | Loss=0.0995 | Acc=0.1877 | Best=0.1879(ep86) | LR=0.002083
[2026-04-04 11:22:17][DEBUG] [Client 0] Epoch  92/100 | Loss=0.1037 | Acc=0.1877 | Best=0.1879(ep86) | LR=0.001669
[2026-04-04 11:22:34][DEBUG] [Client 0] Epoch  93/100 | Loss=0.0949 | Acc=0.1883 | Best=0.1883(ep93) | LR=0.001303
[2026-04-04 11:22:50][DEBUG] [Client 0] Epoch  94/100 | Loss=0.0922 | Acc=0.1879 | Best=0.1883(ep93) | LR=0.000985
[2026-04-04 11:23:08][DEBUG] [Client 0] Epoch  95/100 | Loss=0.0979 | Acc=0.1881 | Best=0.1883(ep93) | LR=0.000715
[2026-04-04 11:23:26][DEBUG] [Client 0] Epoch  96/100 | Loss=0.0929 | Acc=0.1881 | Best=0.1883(ep93) | LR=0.000494
[2026-04-04 11:23:44][DEBUG] [Client 0] Epoch  97/100 | Loss=0.0925 | Acc=0.1879 | Best=0.1883(ep93) | LR=0.000322
[2026-04-04 11:24:00][DEBUG] [Client 0] Epoch  98/100 | Loss=0.0920 | Acc=0.1880 | Best=0.1883(ep93) | LR=0.000199
[2026-04-04 11:24:17][DEBUG] [Client 0] Epoch  99/100 | Loss=0.0914 | Acc=0.1878 | Best=0.1883(ep93) | LR=0.000125
[2026-04-04 11:24:34][DEBUG] [Client 0] Epoch 100/100 | Loss=0.1015 | Acc=0.1878 | Best=0.1883(ep93) | LR=0.000100
[2026-04-04 11:24:34][INFO] [预训练] Client 0 训练完成 | 最优 Accuracy=0.1883 (Epoch 93)
[2026-04-04 11:24:34][INFO] [pretrain] Client 0 模型已保存: ./teacher_ckpts\client_0.pt | Best Acc=0.1883 (Epoch 93)
[2026-04-04 11:24:34][INFO] [pretrain] ── Client 1 开始 | 模型结构: LARGE | 本地样本数: 18484 ──
[2026-04-04 11:24:34][INFO] [预训练] Client 1 开始训练，共 100 轮，设备: cuda
[2026-04-04 11:25:19][DEBUG] [Client 1] Epoch   1/100 | Loss=1.3319 | Acc=0.2790 | Best=0.2790(ep1) | LR=0.099975
[2026-04-04 11:26:05][DEBUG] [Client 1] Epoch   2/100 | Loss=0.8234 | Acc=0.2640 | Best=0.2790(ep1) | LR=0.099901
[2026-04-04 11:26:49][DEBUG] [Client 1] Epoch   3/100 | Loss=0.7015 | Acc=0.3257 | Best=0.3257(ep3) | LR=0.099778
